Student ID,Student Name,Date of Birth
165527,Bryan Rogers,1/19/2006
635763,James Hogan,5/23/1999
740021,David Robinson,12/2/1997
433076,Susan Miller,10/30/1999
441628,Brittany Martin,1/10/1998
837685,Melody Payne,12/15/1997
268329,Erica Owens,6/20/2003
260971,Timothy Cruz,5/19/2003
851589,Cassandra Johnson,9/11/1999
880448,Jonathan Ali,3/31/2006
523477,Lisa Rodriguez,5/18/2004
842097,Caleb Evans,2/9/2004
599098,Virginia Hall,11/6/1999
251033,Susan Middleton,1/6/2001
346779,Jennifer Anderson,8/10/1997
444197,Brandi Bridges,4/17/2002
991828,Charles Barry,7/31/2000
743502,Sarah Gonzalez,8/4/2005
439048,Gary Garcia,7/21/2005
312203,Lawrence Hayes,5/8/1998
984048,Amy Hanson,12/12/2004
751987,Benjamin Lane,2/28/2001
400958,Nicole Grimes,11/30/1998
930450,Andrew Reed,6/11/2001
795079,Tiffany Armstrong,4/17/2000
328657,Nicholas Cook,2/16/1999
617245,Mr. David Pena,8/25/2000
895696,Michael Anderson,12/27/2002
989259,Rebecca Thomas,9/9/1997
804268,Diana Alvarado,12/4/2000
573813,Marissa Ritter,10/1/1997
302083,Dana Woods,8/13/1998
979183,Todd Holmes,10/29/2004
480400,Nancy Lewis,9/21/2005
824237,Christopher Tyler,6/14/2005
621030,Brittany Taylor,2/12/2002
225387,Danielle Johnson,9/20/1998
560688,Russell Meyers DDS,11/11/2000
200648,Eric Howard,8/25/2005
747561,Laura Wright,5/7/2005
955244,Leonard Pierce,10/31/2000
194606,Luis Barber,8/1/1998
868885,Melanie Donovan,1/11/2005
923936,Mr. Jacob Harris,12/17/1999
923805,Bryan Torres,8/23/1998
286004,Leslie Allen,6/18/2003
109669,Cynthia Sanders,4/12/1998
667391,Bradley Ray,9/3/1998
117375,Dean Howard,12/6/2003
550200,Mark Frye,3/18/2005
277997,Thomas Perez,9/22/2003
837116,Stacey Welch,12/16/1998
528156,Jason Ferguson,12/22/2001
986610,Amanda Fitzpatrick,5/4/1998
936952,Beverly Turner,11/16/2000
889763,Dominique Matthews,4/6/2005
202479,Kyle Price,7/20/2000
964838,Andrew Robbins,11/25/2001
300392,Ashley Delacruz,4/11/2000
723050,Zachary Schultz,5/26/2002
517825,Michael Anderson,9/16/2000
532575,Valerie English,5/1/2001
269809,Erin Carroll,2/12/2004
116204,Paul Collins,10/11/2005
187256,Michael Jackson,8/6/2005
461713,Darrell Cobb,2/18/2000
247251,Mr. William Benitez,8/11/2004
684862,Connie Hamilton,2/19/2002
236252,Daniel Lowery,8/18/1999
703371,Anthony Brooks,7/3/2005
675405,Jason Mcgee,7/27/1997
904034,Sheila Peters,4/16/2002
849690,Christopher Johnson,11/27/2000
407743,Bridget Sanchez,7/5/2002
551137,Trevor Stewart,11/11/2005
486371,Deanna Carter,4/15/2001
589765,Debra Olson,1/30/1999
214810,Allen Schroeder,12/25/2003
206184,James Sullivan,7/24/2005
981852,Debra Moore,9/16/2000
732768,Arthur Ramos,8/6/2002
903389,Earl Simmons,6/10/2001
586293,Nicholas Herrera,4/2/2005
132339,Tanya Cunningham,6/5/1998
779707,Justin Gonzalez,9/26/2000
374078,Allen Howard,7/27/1997
498961,Daniel Munoz,4/17/2004
351672,Angel Cole,10/18/1997
572842,Brandon Hill,6/3/2000
417941,Taylor Sullivan,5/17/2005
130234,Devon Gonzalez,6/21/1999
319133,Matthew Garza,7/12/2000
707565,Samuel Perez,1/13/1998
560365,Jason Wong,9/2/2002
559001,Joshua Cox,9/29/2005
202956,Elizabeth Davidson,11/28/2003
683417,Mrs. Melissa Peterson,12/12/2003
329436,Jennifer Medina,9/23/1998
175295,Terry Simmons PhD,1/29/2000
163299,Julie Elliott,9/3/2002
813512,Spencer Olson,6/15/2003
609076,Dr. Autumn Carlson MD,8/12/2001
437537,Jeffrey Shaw,10/16/2004
544867,Kimberly Johnson,6/22/2002
940064,Carrie Barnes,2/5/2006
535146,Anne Johnson,6/6/1997
309247,John Bell,7/9/2002
226754,Oscar Olson,12/5/2005
597959,Danielle Gregory,10/1/2000
126123,Javier Fuller,5/4/1999
329738,Timothy Carroll,4/8/2002
933656,Brian Evans,9/28/1998
356108,Jacqueline Richards,12/16/2002
191258,Alan Camacho,2/19/2006
559648,Michelle Fritz,3/13/1999
693544,James Cruz,10/9/1998
244481,Morgan Briggs,5/16/2004
724211,Brandon Dominguez,10/22/1997
831117,Robin Rivera,5/7/2006
755875,Latoya Pham,9/15/2005
562125,Patrick King,2/25/2001
695800,Seth Marshall,8/11/1997
389056,Scott Andrade,11/17/1998
293237,Dennis Lee,7/17/2004
953845,Jodi Molina,5/17/2004
165543,Gina Martin,6/4/1997
333585,Gina Pratt,6/22/2005
737952,Matthew Salinas,2/11/1998
748986,Samantha Hicks,8/11/1998
904139,Kirk Delgado,11/25/1998
485030,Bryan Henderson,5/9/2005
902941,Lisa Cunningham,8/18/2002
582199,Jessica Chaney,8/22/1999
352057,Benjamin Gonzalez,5/20/1998
119093,Brent Gray,9/28/1999
205515,Miguel Marquez,2/8/2003
334135,Joan Jones,6/14/2001
134426,Tiffany Tate,1/6/2006
785228,Marissa Davis,5/20/1999
744312,Larry Powers,11/24/2000
148258,Herbert Hunter,2/17/2006
652290,Ronald Mckinney,8/6/1997
983310,Maria Torres,8/10/2001
382938,Michelle Rogers,8/26/2003
892339,Tiffany Simon,9/22/1998
314250,Brett Robinson,6/22/2004
797817,Melissa Singh,1/20/2005
829690,Michael Cameron,4/18/1998
881795,Tracie Jimenez,5/9/2002
372155,David Trujillo,4/2/1999
268020,Nicole Hoover,6/21/2004
859565,Nathan Dunn,4/1/2004
299783,Richard Jones,10/17/2000
268896,Mark Martinez,6/2/2004
148871,Madeline Cordova,10/28/2004
735681,Charles Moreno,6/14/2005
176739,Mark Finley,12/4/1999
919867,George Graham,10/13/2001
274635,Heather Santos,5/30/1999
934057,Mrs. Melissa Roy DVM,3/7/2002
542278,Jessica Cole,8/13/1997
279924,Anthony Woodard,6/6/1999
719475,Aaron Adams,1/7/2005
514951,Tiffany Green,5/26/1998
769534,Michael Garcia,9/12/2002
632840,Mary Brown,8/16/2002
705594,Brittany Thompson,5/9/2006
365107,Anna Bruce,1/23/2005
321337,Mallory Rojas,2/11/2003
820665,Andrew Mcdaniel,9/11/2004
296318,Michael Harmon,1/29/2003
227286,Brittany Rich,7/20/2004
542430,Curtis Herrera,8/31/2005
196288,Mariah Guzman,6/6/2000
781076,Patricia Martin,9/26/2002
727772,Amanda Parker,6/3/2000
893745,Diana Brown,3/29/2005
995738,James Chen,6/6/1998
684398,Tyler Scott,4/5/2002
924931,Stephanie Rubio,5/5/2001
205734,Paul West,2/12/2006
267638,Zachary Boyd,6/28/1998
329766,Julia Holder,7/4/1998
406761,Amy Dixon,4/3/2001
959961,Erin Mullen,10/22/1998
177613,Kathryn Camacho,5/19/2001
488831,Kara Mclaughlin,9/14/2005
658976,Mrs. Morgan Sullivan,10/3/1998
140370,Lisa Gray,7/26/1998
538492,Mark Jimenez,2/16/2003
476654,Michael Long,11/5/1997
227544,Matthew Wade,9/22/2002
580194,Kimberly Medina,3/17/2005
648786,Crystal Buchanan,11/27/2004
464643,John Paul,1/23/1999
581977,Daniel Conrad,11/22/1999
450268,Richard Huff,12/3/1997
540421,Terry Gray,12/23/2003
485417,Justin Collins,5/11/2004
706413,Jessica Dickerson,3/21/2004
723561,Diane Nelson,10/28/2004
364588,Rachel Martinez,7/14/1998
468604,Maxwell Macias,10/21/2000
721032,Crystal Fuller,6/23/1999
677757,Donna Howard,6/4/2004
577908,Jorge Owens,2/16/2005
730873,Debra Thompson,7/18/1998
144476,Wanda Campos,11/10/2003
431460,Walter Hernandez,9/6/2005
884871,Juan Smith,1/23/2004
980406,Erin Perez,4/2/2001
186328,Amanda Lopez,10/21/2001
206456,Robert Norton,3/3/1999
704441,Anthony Simmons,9/11/2001
543045,Vincent Merritt,10/4/2000
746447,Cynthia Martinez,9/5/2000
122265,Danielle Matthews,12/8/2002
197627,Alejandra Ross,9/12/1998
176672,Brett Wilson DDS,6/6/2000
601395,Stephanie Wheeler,9/1/2002
661424,Shaun Ruiz,12/2/2003
812997,Andrew Ibarra,11/24/1998
413422,Lindsay Fernandez,10/12/2001
674865,Scott Higgins,9/14/2001
788806,Troy Schultz,11/19/2005
153003,Allen Myers,5/24/2000
744357,Patrick Torres,4/1/2005
620913,Maria Morgan,5/4/2003
322335,Shelby Davis,11/20/2000
296324,Erica Anderson,5/5/2003
230051,Robert Hinton,10/25/2005
452767,Cindy Alvarado,9/21/2004
321728,Shannon Andrade,9/12/2003
266890,Brian White,5/4/2000
286797,Angela Norris,1/3/2002
370795,Benjamin Briggs,1/15/1999
887673,Cole Walters,6/24/1999
268954,Wendy Mcgee,7/20/2003
194408,William Abbott,12/13/2001
894403,Rachel Davis,6/25/1998
403684,Patricia Glover,12/24/2001
488042,Kimberly Lewis,10/3/2004
389139,Rhonda Newman,8/7/1998
205632,Larry Jones,9/1/2000
783479,Raymond Bryant,8/2/2005
529856,Catherine Rogers,11/8/1997
631015,Marcus Perkins,8/27/1999
456129,Christopher Carlson,3/26/2006
696435,Kim Washington,1/11/2001
729591,April Matthews,6/28/2001
811661,Ronnie Schmidt,10/2/2000
388230,Kimberly Young,6/30/2005
722222,Jon Sims,1/27/1998
851897,Dana Elliott,6/22/2002
601944,Jason Richardson,11/11/2003
469351,James Warren,4/3/2002
960870,Christine Lopez,8/9/2004
335654,Lisa Dunlap,8/19/2002
527272,Anthony Reed,8/28/1999
874270,Jeffrey Thompson,12/30/1999
843495,William Black,9/7/2004
506393,Jessica Mann,9/29/2001
122444,Kim Montgomery MD,10/3/2003
809361,Mary Jackson,6/18/2003
591106,Gary Salazar,5/31/2000
372280,Shane Evans,7/14/2005
408988,Teresa Daniels,10/12/2004
769748,Barbara Rodriguez,12/24/2003
148650,Kenneth Black,6/14/2002
558343,Hannah Thomas,1/23/1998
989792,Richard Valdez,10/30/2000
731141,Philip Sanchez,8/27/1999
297758,Richard Carlson,10/10/1998
150807,Lynn Kaufman,12/29/1998
545523,Brandi Collier,8/18/1998
246513,Jessica Evans,11/28/1998
207784,Diane Williams,5/23/2001
719522,Gregory Valdez,7/8/1998
640723,Austin Aguirre,2/23/2002
493398,Michael Perkins,1/30/2000
488209,Todd Caldwell,1/9/2001
640899,Brent Yang,8/21/2005
692637,Nicole Mason,12/23/1999
276524,Jennifer Thompson,4/29/2003
309989,William Ryan,7/17/2004
296166,Angela Johnson,11/19/1998
152994,William Morris,10/29/1998
654405,Stacey Romero DDS,4/13/2000
435908,Mary Yang,7/1/1998
752968,Brett Glenn,12/5/2002
894710,Nancy Ward,2/9/1999
892369,Jonathan Gordon,7/19/1997
610583,Erika Young,7/2/1997
518567,Patricia Castro,8/15/2002
245814,Kaylee Olson,8/13/1997
815151,Stephanie Chavez,9/13/1998
855707,Rose Torres,10/30/1999
593464,Donald Lynn,2/14/1998
756528,Kathryn Nicholson,4/16/2005
370722,Mark Hamilton,1/9/2004
925433,Patrick Stone,3/9/1998
312414,Cody Thompson,10/19/1999
727207,Sydney Guzman,3/24/2002
797543,Sandra Reynolds,3/24/2006
837446,Tracy Riley,9/3/2004
583180,John Freeman,3/14/2001
376812,Timothy Hickman,1/14/1998
247703,Kaitlin Boyd,2/3/2003
120538,Rebecca Lee,8/25/2005
830551,Jennifer Harris,6/14/2004
305075,Kimberly Solis,11/4/2003
190447,Sergio Morales,11/2/2003
518219,Robert Johnson,4/14/2004
971169,Calvin Greene,12/19/1997
841021,Adam Douglas,9/30/2001
516731,Linda Waters,1/26/1998
540688,Donna Smith,9/15/1997
573875,Robin Clark DDS,4/15/2001
457303,Logan Davenport,1/14/2004
467578,Kelsey Knox,10/20/2000
539034,Melanie Wise,10/12/2004
181894,Michael Jenkins,9/6/2001
677105,Jimmy Walters,4/18/2002
173288,Eric Washington,7/9/2004
151155,Sandra Roberts MD,8/7/2001
213221,Devin Ramos,11/28/2001
332227,Albert Mclaughlin,12/4/2002
728830,Matthew Brady,10/28/2004
299122,Bryan Blankenship,11/21/2002
898248,Brittany Diaz,5/24/2003
937465,Alejandro Hill,12/1/1998
112178,Austin Carrillo,12/7/2004
661123,Alexis Thompson,10/22/2004
317340,Daniel Long,7/26/1999
419514,Laura Harvey,1/3/2001
212233,Isaiah Foster,11/28/1997
327506,Desiree Patterson,9/25/2004
589888,Diane Mcgee,4/26/1999
525100,Matthew James,5/21/2002
362257,Louis Johnson,4/29/2001
160740,Nicholas Rojas,1/18/1998
871426,Darlene Smith,1/4/2001
802084,Terri Cruz,3/9/2006
528239,Diana Johnson,3/2/1998
782189,Steve Patterson,11/18/2002
303390,Roger Werner,12/24/2003
327622,Dylan Brown,8/24/2003
327559,Christopher Doyle,1/25/2003
821515,Adam Elliott,7/17/2002
660984,Samantha Smith,4/24/2001
153780,Jacqueline Garza,8/5/2001
471849,Sarah Brown,2/12/2000
632225,Brandi Mckee,12/8/2002
345721,Tyler Jones,5/20/2001
280336,Richard Thompson,9/21/1999
495448,Jessica Knox,5/5/2000
655498,Veronica Banks,5/6/2006
459279,James Johnson,9/18/2001
678809,Ryan Simon,2/18/2000
616254,Pamela Brown,7/18/1997
773451,Craig Young,1/5/1998
673709,Robert Dyer,8/2/2003
592188,Mariah Blankenship,1/27/1999
311480,Thomas Nguyen,1/1/2000
719530,Gregory Martin,9/19/1997
301524,Robert Clayton,5/22/2001
634801,Becky Mack,1/14/2006
970458,Randy Guerra,7/10/2000
251849,Michelle Moore,4/12/1999
230146,Eric West,1/31/2004
624064,Jack Lewis,7/24/1999
335783,Natalie Pena,7/13/2003
474198,Danielle Ramirez,8/4/2001
924737,Danielle Vasquez,5/23/2002
419320,Rhonda Johnson,7/11/2001
508467,Catherine Atkinson,11/6/2000
613518,Pamela Underwood,10/11/2005
649349,Jason Fields,1/10/2001
259876,Jessica Wilson,12/2/2002
375023,Hannah Chandler,1/11/2004
176874,Jason Gonzalez,8/2/2005
353261,Sarah Garner,3/16/2004
497836,Dawn Craig,7/11/1998
201317,Dawn Williamson,1/5/2005
994351,Margaret Watts,9/8/2004
556001,Logan Chambers,8/20/2001
927111,Elizabeth Anderson,8/10/2001
735446,Max Vincent,6/26/2001
768400,Caitlin Novak,6/29/2002
324965,Tonya Byrd,6/13/1997
547488,Todd Escobar,6/17/2005
463184,Melinda Zimmerman,10/6/1999
470562,Andrea Daniels,4/7/2005
329452,Lori Marshall,10/4/2004
297741,Joseph Schroeder,12/26/2005
369918,Elizabeth Woodard,3/12/2005
370559,Kristine Wagner,2/25/1999
274444,Mary Velez,3/9/2004
939769,Michelle Lewis,1/10/1998
921850,Ashley Maldonado,5/27/2002
100149,Patrick Martinez,10/24/2002
224757,Andrea Morse,6/7/2003
696721,Michelle Thomas,3/24/2004
467604,Troy Moore,7/26/2003
566229,Matthew Haney,3/4/2000
492661,Amanda Baker,7/5/2000
176916,Jon Fry,8/24/1997
517504,Cheryl Goodwin,5/8/2002
151055,Jay Miller,9/23/2001
979612,Peter Benton,8/31/2002
293599,Michelle White,3/6/2005
115622,William Nichols,1/5/1999
403802,Kevin Lindsey,1/9/2001
812426,Mr. Kevin Johnson DVM,7/24/2003
400023,Jacob Coleman,8/23/2001
564863,Nicholas Murillo,8/23/2000
958862,Kenneth Davis,3/8/1998
912556,Jacqueline Jackson,9/18/1997
722524,Ashley Dunn,5/17/2004
564789,Michael Walker,4/29/1999
895312,Elizabeth Hall,6/27/2000
437475,Karen Estes,6/4/1997
260527,Michael Austin,5/17/2001
873650,Ellen Davis,6/3/2003
210178,James Martinez,4/24/1999
760114,Edward Leon,1/13/2003
679016,Ronald Irwin,5/11/2002
794587,Christina Glover,8/19/1999
722067,Nicole Montgomery,10/24/2000
823924,Anthony Yang,11/15/2003
168764,James Davis,12/23/2001
443866,Amber Pearson,5/9/2002
177191,Daniel Strong,3/16/2004
548552,Amanda Foster,1/30/2000
917451,Sylvia Baker,12/11/2002
584915,William Park,6/2/2001
115609,Angela Cummings,2/26/1998
494702,Sheri Casey,8/23/2001
860137,Karen Lewis,9/29/2002
889122,Stephanie Sandoval,5/23/1998
750115,Tristan Kim,10/21/2001
498247,Robert Cruz,4/18/2000
507490,Randall Miller,1/7/2003
786454,Justin Walker,5/4/2000
423730,David Freeman,1/29/2000
695899,Lindsey Winters,11/4/1999
495557,Tony Shannon,2/6/2004
536884,Adam Rodriguez,8/21/1999
480914,Joseph Taylor,2/10/2002
545055,Johnny Moreno,5/20/1999
570744,Jacob Ramos,9/5/1997
530567,Jill Delgado,12/23/1999
344145,Misty Park,1/26/2004
600078,Lisa Ellis,4/6/2004
664575,Amanda Taylor,5/27/2005
287657,Helen Phillips,2/13/2002
945454,Sarah Moore,12/15/2001
105393,Sarah Davila,12/19/1997
523956,James Morales,8/20/1997
401546,David English,6/23/1999
375366,Ms. Deanna Johnson,3/6/2002
909366,Karen Ross,7/14/1999
807418,Steven Gallagher,3/15/2005
200488,Robert Gregory,12/22/2000
819051,Courtney Hall,2/11/2001
936319,Terry Webb,9/24/1999
847193,Ryan Wilkerson,12/16/2005
201364,Angela Eaton,8/24/2004
454134,Jessica Smith,3/31/1999
505998,Tracy Schneider,8/21/2002
723641,Eric Davis,6/21/2003
340414,Heather Brewer,3/21/2003
353461,Edward Rodriguez,5/6/2000
756387,Stacy Brewer,7/29/2005
405796,John Wallace,3/30/2002
263100,Patrick Maynard,8/21/2001
664696,Jonathan Johnson,10/16/2005
704875,Neil Allen Jr.,11/11/2005
627075,Richard Myers,9/19/2002
504088,Barbara Simmons,12/10/2002
285886,Christine Watts,5/2/1998
363782,Paul George,11/21/1997
594349,Madison Johnson,4/27/2002
842329,Jill Clark,2/10/2005
816681,Richard Silva,5/13/2003
278013,Monica Mckee,7/27/2003
779558,Brandon Bautista,5/21/1998
554777,James Hood,2/1/2003
526109,Chelsey Cooper,1/28/2003
835014,Anthony Boyd,7/3/2002
868438,Joshua Rice,1/12/2002
442522,Thomas Tapia,8/7/2005
913340,Jennifer Robinson,6/29/1997
115649,Denise Andrews,12/28/1998
794351,Caitlin Brock,12/2/1999
749878,Nicole Blake,12/6/2002
539483,Lisa Matthews,7/13/1998
599114,Cheryl Johnson,5/29/1998
436455,Lisa Moore,3/12/1999
