Student ID,Student Name,Year of Admission,Expected Year of Graduation
165527,Bryan Rogers,2020,2017
635763,James Hogan,2020,2020
740021,David Robinson,2017,2022
433076,Susan Miller,2021,2019
441628,Brittany Martin,2016,2018
837685,Melody Payne,2016,2019
268329,Erica Owens,2020,2020
260971,Timothy Cruz,2021,2019
851589,Cassandra Johnson,2019,2020
880448,Jonathan Ali,2019,2020
523477,Lisa Rodriguez,2022,2020
842097,Caleb Evans,2017,2020
599098,Virginia Hall,2016,2017
251033,Susan Middleton,2021,2018
346779,Jennifer Anderson,2017,2017
444197,Brandi Bridges,2019,2021
991828,Charles Barry,2016,2021
743502,Sarah Gonzalez,2019,2019
439048,Gary Garcia,2020,2023
312203,Lawrence Hayes,2020,2017
984048,Amy Hanson,2017,2018
751987,Benjamin Lane,2021,2019
400958,Nicole Grimes,2021,2023
930450,Andrew Reed,2018,2017
795079,Tiffany Armstrong,2019,2018
328657,Nicholas Cook,2019,2023
617245,Mr. David Pena,2016,2018
895696,Michael Anderson,2021,2018
989259,Rebecca Thomas,2019,2023
804268,Diana Alvarado,2020,2018
573813,Marissa Ritter,2020,2021
302083,Dana Woods,2022,2021
979183,Todd Holmes,2019,2019
480400,Nancy Lewis,2022,2017
824237,Christopher Tyler,2017,2020
621030,Brittany Taylor,2017,2017
225387,Danielle Johnson,2020,2019
560688,Russell Meyers DDS,2017,2020
200648,Eric Howard,2018,2023
747561,Laura Wright,2017,2021
955244,Leonard Pierce,2016,2017
194606,Luis Barber,2021,2017
868885,Melanie Donovan,2020,2018
923936,Mr. Jacob Harris,2016,2018
923805,Bryan Torres,2022,2017
286004,Leslie Allen,2022,2020
109669,Cynthia Sanders,2021,2023
667391,Bradley Ray,2020,2021
117375,Dean Howard,2016,2017
550200,Mark Frye,2019,2018
277997,Thomas Perez,2022,2017
837116,Stacey Welch,2020,2023
528156,Jason Ferguson,2021,2020
986610,Amanda Fitzpatrick,2017,2018
936952,Beverly Turner,2021,2018
889763,Dominique Matthews,2016,2021
202479,Kyle Price,2022,2019
964838,Andrew Robbins,2019,2018
300392,Ashley Delacruz,2017,2020
723050,Zachary Schultz,2019,2023
517825,Michael Anderson,2021,2020
532575,Valerie English,2019,2022
269809,Erin Carroll,2016,2022
116204,Paul Collins,2022,2021
187256,Michael Jackson,2017,2018
461713,Darrell Cobb,2017,2022
247251,Mr. William Benitez,2016,2020
684862,Connie Hamilton,2017,2019
236252,Daniel Lowery,2019,2023
703371,Anthony Brooks,2019,2023
675405,Jason Mcgee,2016,2018
904034,Sheila Peters,2017,2021
849690,Christopher Johnson,2022,2019
407743,Bridget Sanchez,2022,2021
551137,Trevor Stewart,2019,2019
486371,Deanna Carter,2016,2022
589765,Debra Olson,2018,2021
214810,Allen Schroeder,2018,2022
206184,James Sullivan,2018,2022
981852,Debra Moore,2019,2023
732768,Arthur Ramos,2017,2019
903389,Earl Simmons,2016,2018
586293,Nicholas Herrera,2019,2022
132339,Tanya Cunningham,2018,2022
779707,Justin Gonzalez,2017,2020
374078,Allen Howard,2022,2022
498961,Daniel Munoz,2016,2021
351672,Angel Cole,2021,2019
572842,Brandon Hill,2018,2017
417941,Taylor Sullivan,2018,2019
130234,Devon Gonzalez,2019,2019
319133,Matthew Garza,2019,2018
707565,Samuel Perez,2016,2019
560365,Jason Wong,2019,2022
559001,Joshua Cox,2017,2019
202956,Elizabeth Davidson,2019,2020
683417,Mrs. Melissa Peterson,2022,2017
329436,Jennifer Medina,2021,2022
175295,Terry Simmons PhD,2020,2017
163299,Julie Elliott,2022,2017
813512,Spencer Olson,2022,2023
609076,Dr. Autumn Carlson MD,2018,2022
437537,Jeffrey Shaw,2019,2021
544867,Kimberly Johnson,2022,2019
