Student ID,Student Name,Specialization
165527,Bryan Rogers,Web Development
635763,James Hogan,Machine Learning
740021,David Robinson,Network Security
433076,Susan Miller,Data Science
441628,Brittany Martin,Network Security
837685,Melody Payne,Web Development
268329,Erica Owens,Artificial Intelligence
260971,Timothy Cruz,Artificial Intelligence
851589,Cassandra Johnson,Network Security
880448,Jonathan Ali,Artificial Intelligence
523477,Lisa Rodriguez,Web Development
842097,Caleb Evans,Artificial Intelligence
599098,Virginia Hall,Network Security
251033,Susan Middleton,Artificial Intelligence
346779,Jennifer Anderson,Data Science
444197,Brandi Bridges,Data Science
991828,Charles Barry,Artificial Intelligence
743502,Sarah Gonzalez,Artificial Intelligence
439048,Gary Garcia,Machine Learning
312203,Lawrence Hayes,Machine Learning
984048,Amy Hanson,Machine Learning
751987,Benjamin Lane,Network Security
400958,Nicole Grimes,Artificial Intelligence
930450,Andrew Reed,Network Security
795079,Tiffany Armstrong,Web Development
328657,Nicholas Cook,Machine Learning
617245,Mr. David Pena,Machine Learning
895696,Michael Anderson,Data Science
989259,Rebecca Thomas,Machine Learning
804268,Diana Alvarado,Network Security
573813,Marissa Ritter,Data Science
302083,Dana Woods,Web Development
979183,Todd Holmes,Web Development
480400,Nancy Lewis,Machine Learning
824237,Christopher Tyler,Artificial Intelligence
621030,Brittany Taylor,Network Security
225387,Danielle Johnson,Artificial Intelligence
560688,Russell Meyers DDS,Machine Learning
200648,Eric Howard,Network Security
747561,Laura Wright,Machine Learning
955244,Leonard Pierce,Machine Learning
194606,Luis Barber,Artificial Intelligence
868885,Melanie Donovan,Web Development
923936,Mr. Jacob Harris,Web Development
923805,Bryan Torres,Network Security
286004,Leslie Allen,Network Security
109669,Cynthia Sanders,Artificial Intelligence
667391,Bradley Ray,Network Security
117375,Dean Howard,Data Science
550200,Mark Frye,Artificial Intelligence
277997,Thomas Perez,Network Security
837116,Stacey Welch,Data Science
528156,Jason Ferguson,Machine Learning
986610,Amanda Fitzpatrick,Network Security
936952,Beverly Turner,Web Development
889763,Dominique Matthews,Machine Learning
202479,Kyle Price,Network Security
964838,Andrew Robbins,Artificial Intelligence
300392,Ashley Delacruz,Web Development
723050,Zachary Schultz,Machine Learning
517825,Michael Anderson,Data Science
532575,Valerie English,Machine Learning
269809,Erin Carroll,Web Development
116204,Paul Collins,Network Security
187256,Michael Jackson,Data Science
461713,Darrell Cobb,Network Security
247251,Mr. William Benitez,Web Development
684862,Connie Hamilton,Network Security
236252,Daniel Lowery,Artificial Intelligence
703371,Anthony Brooks,Network Security
675405,Jason Mcgee,Machine Learning
904034,Sheila Peters,Web Development
849690,Christopher Johnson,Network Security
407743,Bridget Sanchez,Artificial Intelligence
551137,Trevor Stewart,Artificial Intelligence
486371,Deanna Carter,Network Security
